actor_id,first_name,last_name,birth_year
78,ActorFirst78,ActorLast78,2005
79,ActorFirst79,ActorLast79,1966
80,ActorFirst80,ActorLast80,1951
81,ActorFirst81,ActorLast81,1965
82,ActorFirst82,ActorLast82,1964
83,ActorFirst83,ActorLast83,1993
84,ActorFirst84,ActorLast84,1994
85,ActorFirst85,ActorLast85,1984
86,ActorFirst86,ActorLast86,1967
87,ActorFirst87,ActorLast87,1974
88,ActorFirst88,ActorLast88,1957
89,ActorFirst89,ActorLast89,1993
90,ActorFirst90,ActorLast90,1969
91,ActorFirst91,ActorLast91,1976
92,ActorFirst92,ActorLast92,1974
93,ActorFirst93,ActorLast93,2005
94,ActorFirst94,ActorLast94,1974
95,ActorFirst95,ActorLast95,1978
96,ActorFirst96,ActorLast96,1968
97,ActorFirst97,ActorLast97,1967
98,ActorFirst98,ActorLast98,1993
99,ActorFirst99,ActorLast99,1951
100,ActorFirst100,ActorLast100,1980
101,ActorFirst101,ActorLast101,1950
102,ActorFirst102,ActorLast102,1960
103,ActorFirst103,ActorLast103,1968
104,ActorFirst104,ActorLast104,1979
105,ActorFirst105,ActorLast105,1952
106,ActorFirst106,ActorLast106,1950
107,ActorFirst107,ActorLast107,2001
108,ActorFirst108,ActorLast108,1995
109,ActorFirst109,ActorLast109,1981
110,ActorFirst110,ActorLast110,1997
111,ActorFirst111,ActorLast111,1999
112,ActorFirst112,ActorLast112,2004
113,ActorFirst113,ActorLast113,2004
114,ActorFirst114,ActorLast114,2003
115,ActorFirst115,ActorLast115,1986
116,ActorFirst116,ActorLast116,1975
117,ActorFirst117,ActorLast117,1974
118,ActorFirst118,ActorLast118,1992
119,ActorFirst119,ActorLast119,1970
120,ActorFirst120,ActorLast120,1995
121,ActorFirst121,ActorLast121,1961
122,ActorFirst122,ActorLast122,1978
123,ActorFirst123,ActorLast123,1993
124,ActorFirst124,ActorLast124,1993
125,ActorFirst125,ActorLast125,1954
126,ActorFirst126,ActorLast126,1978
127,ActorFirst127,ActorLast127,1963
128,ActorFirst128,ActorLast128,1964
129,ActorFirst129,ActorLast129,1978
130,ActorFirst130,ActorLast130,1982
131,ActorFirst131,ActorLast131,1954
132,ActorFirst132,ActorLast132,1959
133,ActorFirst133,ActorLast133,1985
134,ActorFirst134,ActorLast134,1999
135,ActorFirst135,ActorLast135,1971
136,ActorFirst136,ActorLast136,1999
137,ActorFirst137,ActorLast137,1982
138,ActorFirst138,ActorLast138,1984
139,ActorFirst139,ActorLast139,1981
140,ActorFirst140,ActorLast140,1976
141,ActorFirst141,ActorLast141,1968
142,ActorFirst142,ActorLast142,1981
143,ActorFirst143,ActorLast143,1954
144,ActorFirst144,ActorLast144,1993
145,ActorFirst145,ActorLast145,1999
146,ActorFirst146,ActorLast146,1985
147,ActorFirst147,ActorLast147,2005
148,ActorFirst148,ActorLast148,1986
149,ActorFirst149,ActorLast149,1990
150,ActorFirst150,ActorLast150,1972
