user_id,first_name,last_name,rewards_points
113,UserFirst113,UserLast113,3326
114,UserFirst114,UserLast114,2215
115,UserFirst115,UserLast115,1306
116,UserFirst116,UserLast116,1603
117,UserFirst117,UserLast117,4246
118,UserFirst118,UserLast118,1439
119,UserFirst119,UserLast119,1947
120,UserFirst120,UserLast120,4752
121,UserFirst121,UserLast121,4620
122,UserFirst122,UserLast122,1349
123,UserFirst123,UserLast123,3719
124,UserFirst124,UserLast124,1786
125,UserFirst125,UserLast125,3484
126,UserFirst126,UserLast126,1633
127,UserFirst127,UserLast127,2274
128,UserFirst128,UserLast128,1686
129,UserFirst129,UserLast129,1937
130,UserFirst130,UserLast130,4981
131,UserFirst131,UserLast131,1193
132,UserFirst132,UserLast132,3352
133,UserFirst133,UserLast133,3007
134,UserFirst134,UserLast134,1990
135,UserFirst135,UserLast135,4668
136,UserFirst136,UserLast136,3709
137,UserFirst137,UserLast137,4876
138,UserFirst138,UserLast138,695
139,UserFirst139,UserLast139,1687
140,UserFirst140,UserLast140,3546
141,UserFirst141,UserLast141,2138
142,UserFirst142,UserLast142,2863
143,UserFirst143,UserLast143,263
144,UserFirst144,UserLast144,3970
145,UserFirst145,UserLast145,4983
146,UserFirst146,UserLast146,2919
147,UserFirst147,UserLast147,1193
148,UserFirst148,UserLast148,556
149,UserFirst149,UserLast149,1491
150,UserFirst150,UserLast150,856
151,UserFirst151,UserLast151,108
152,UserFirst152,UserLast152,3071
153,UserFirst153,UserLast153,1672
154,UserFirst154,UserLast154,4108
155,UserFirst155,UserLast155,2630
156,UserFirst156,UserLast156,1844
157,UserFirst157,UserLast157,2040
158,UserFirst158,UserLast158,1371
159,UserFirst159,UserLast159,3870
160,UserFirst160,UserLast160,112
161,UserFirst161,UserLast161,1906
162,UserFirst162,UserLast162,2272
163,UserFirst163,UserLast163,2388
164,UserFirst164,UserLast164,2753
165,UserFirst165,UserLast165,1104
166,UserFirst166,UserLast166,2648
167,UserFirst167,UserLast167,3251
168,UserFirst168,UserLast168,3436
169,UserFirst169,UserLast169,4430
170,UserFirst170,UserLast170,3915
171,UserFirst171,UserLast171,1690
172,UserFirst172,UserLast172,2191
173,UserFirst173,UserLast173,1589
174,UserFirst174,UserLast174,2764
175,UserFirst175,UserLast175,970
176,UserFirst176,UserLast176,3979
177,UserFirst177,UserLast177,3165
178,UserFirst178,UserLast178,3992
179,UserFirst179,UserLast179,375
180,UserFirst180,UserLast180,1336
181,UserFirst181,UserLast181,178
182,UserFirst182,UserLast182,2911
183,UserFirst183,UserLast183,248
184,UserFirst184,UserLast184,904
185,UserFirst185,UserLast185,2324
186,UserFirst186,UserLast186,3795
187,UserFirst187,UserLast187,2508
188,UserFirst188,UserLast188,1318
189,UserFirst189,UserLast189,701
190,UserFirst190,UserLast190,4971
191,UserFirst191,UserLast191,4835
192,UserFirst192,UserLast192,2873
193,UserFirst193,UserLast193,2855
194,UserFirst194,UserLast194,1521
195,UserFirst195,UserLast195,4999
196,UserFirst196,UserLast196,586
197,UserFirst197,UserLast197,2051
198,UserFirst198,UserLast198,3828
199,UserFirst199,UserLast199,4860
200,UserFirst200,UserLast200,4500
201,UserFirst201,UserLast201,23
202,UserFirst202,UserLast202,620
203,UserFirst203,UserLast203,2648
204,UserFirst204,UserLast204,2709
205,UserFirst205,UserLast205,3548
206,UserFirst206,UserLast206,3299
207,UserFirst207,UserLast207,4250
208,UserFirst208,UserLast208,1743
209,UserFirst209,UserLast209,1473
210,UserFirst210,UserLast210,1121
211,UserFirst211,UserLast211,2141
212,UserFirst212,UserLast212,1878
213,UserFirst213,UserLast213,756
214,UserFirst214,UserLast214,4079
215,UserFirst215,UserLast215,4407
216,UserFirst216,UserLast216,2524
217,UserFirst217,UserLast217,4374
218,UserFirst218,UserLast218,3043
219,UserFirst219,UserLast219,4764
220,UserFirst220,UserLast220,2192
221,UserFirst221,UserLast221,4154
222,UserFirst222,UserLast222,2905
223,UserFirst223,UserLast223,1500
224,UserFirst224,UserLast224,1429
225,UserFirst225,UserLast225,4015
226,UserFirst226,UserLast226,4907
227,UserFirst227,UserLast227,3733
228,UserFirst228,UserLast228,1191
229,UserFirst229,UserLast229,3266
230,UserFirst230,UserLast230,4600
231,UserFirst231,UserLast231,3865
232,UserFirst232,UserLast232,4125
233,UserFirst233,UserLast233,3556
234,UserFirst234,UserLast234,1570
235,UserFirst235,UserLast235,3815
236,UserFirst236,UserLast236,2086
237,UserFirst237,UserLast237,1708
238,UserFirst238,UserLast238,822
239,UserFirst239,UserLast239,3058
240,UserFirst240,UserLast240,4185
241,UserFirst241,UserLast241,2909
242,UserFirst242,UserLast242,459
243,UserFirst243,UserLast243,4338
244,UserFirst244,UserLast244,194
245,UserFirst245,UserLast245,1890
246,UserFirst246,UserLast246,1887
247,UserFirst247,UserLast247,3766
248,UserFirst248,UserLast248,3463
249,UserFirst249,UserLast249,952
250,UserFirst250,UserLast250,1559
251,UserFirst251,UserLast251,2824
252,UserFirst252,UserLast252,1327
253,UserFirst253,UserLast253,1224
254,UserFirst254,UserLast254,3193
255,UserFirst255,UserLast255,3639
256,UserFirst256,UserLast256,1434
257,UserFirst257,UserLast257,4221
258,UserFirst258,UserLast258,4987
259,UserFirst259,UserLast259,571
260,UserFirst260,UserLast260,4294
261,UserFirst261,UserLast261,2318
262,UserFirst262,UserLast262,4356
263,UserFirst263,UserLast263,2035
264,UserFirst264,UserLast264,3843
265,UserFirst265,UserLast265,3997
266,UserFirst266,UserLast266,3453
267,UserFirst267,UserLast267,1226
268,UserFirst268,UserLast268,6
269,UserFirst269,UserLast269,3518
270,UserFirst270,UserLast270,3102
271,UserFirst271,UserLast271,206
272,UserFirst272,UserLast272,466
273,UserFirst273,UserLast273,3336
274,UserFirst274,UserLast274,4716
275,UserFirst275,UserLast275,1868
276,UserFirst276,UserLast276,213
277,UserFirst277,UserLast277,1389
278,UserFirst278,UserLast278,537
279,UserFirst279,UserLast279,4540
280,UserFirst280,UserLast280,2913
281,UserFirst281,UserLast281,1660
282,UserFirst282,UserLast282,4317
283,UserFirst283,UserLast283,4723
284,UserFirst284,UserLast284,2925
285,UserFirst285,UserLast285,546
286,UserFirst286,UserLast286,1318
287,UserFirst287,UserLast287,1010
288,UserFirst288,UserLast288,142
289,UserFirst289,UserLast289,197
290,UserFirst290,UserLast290,196
291,UserFirst291,UserLast291,2064
292,UserFirst292,UserLast292,1742
293,UserFirst293,UserLast293,4464
294,UserFirst294,UserLast294,1405
295,UserFirst295,UserLast295,1439
296,UserFirst296,UserLast296,2125
297,UserFirst297,UserLast297,4900
298,UserFirst298,UserLast298,3338
299,UserFirst299,UserLast299,3755
300,UserFirst300,UserLast300,1383
301,UserFirst301,UserLast301,1497
302,UserFirst302,UserLast302,1911
303,UserFirst303,UserLast303,3642
304,UserFirst304,UserLast304,4518
305,UserFirst305,UserLast305,1876
306,UserFirst306,UserLast306,1958
307,UserFirst307,UserLast307,4780
308,UserFirst308,UserLast308,3461
309,UserFirst309,UserLast309,4183
310,UserFirst310,UserLast310,3957
311,UserFirst311,UserLast311,4536
312,UserFirst312,UserLast312,4935
313,UserFirst313,UserLast313,1021
314,UserFirst314,UserLast314,3903
315,UserFirst315,UserLast315,1433
316,UserFirst316,UserLast316,706
317,UserFirst317,UserLast317,3196
318,UserFirst318,UserLast318,1743
319,UserFirst319,UserLast319,4671
320,UserFirst320,UserLast320,3600
321,UserFirst321,UserLast321,4474
322,UserFirst322,UserLast322,6
323,UserFirst323,UserLast323,3622
324,UserFirst324,UserLast324,2419
325,UserFirst325,UserLast325,4419
326,UserFirst326,UserLast326,4360
327,UserFirst327,UserLast327,2511
328,UserFirst328,UserLast328,3461
329,UserFirst329,UserLast329,1845
330,UserFirst330,UserLast330,1150
331,UserFirst331,UserLast331,1467
332,UserFirst332,UserLast332,3413
333,UserFirst333,UserLast333,2683
334,UserFirst334,UserLast334,239
335,UserFirst335,UserLast335,4359
336,UserFirst336,UserLast336,866
337,UserFirst337,UserLast337,2451
338,UserFirst338,UserLast338,2992
339,UserFirst339,UserLast339,490
340,UserFirst340,UserLast340,4604
341,UserFirst341,UserLast341,2404
342,UserFirst342,UserLast342,186
343,UserFirst343,UserLast343,143
344,UserFirst344,UserLast344,3384
345,UserFirst345,UserLast345,1082
346,UserFirst346,UserLast346,2144
347,UserFirst347,UserLast347,3257
348,UserFirst348,UserLast348,58
349,UserFirst349,UserLast349,4627
350,UserFirst350,UserLast350,1496
351,UserFirst351,UserLast351,4502
352,UserFirst352,UserLast352,4253
353,UserFirst353,UserLast353,4739
354,UserFirst354,UserLast354,314
355,UserFirst355,UserLast355,4554
356,UserFirst356,UserLast356,2186
357,UserFirst357,UserLast357,4469
358,UserFirst358,UserLast358,1118
359,UserFirst359,UserLast359,2362
360,UserFirst360,UserLast360,2730
361,UserFirst361,UserLast361,4479
362,UserFirst362,UserLast362,1205
363,UserFirst363,UserLast363,3848
364,UserFirst364,UserLast364,4297
365,UserFirst365,UserLast365,420
366,UserFirst366,UserLast366,1408
367,UserFirst367,UserLast367,1190
368,UserFirst368,UserLast368,4304
369,UserFirst369,UserLast369,1705
370,UserFirst370,UserLast370,1240
371,UserFirst371,UserLast371,1405
372,UserFirst372,UserLast372,980
373,UserFirst373,UserLast373,1831
374,UserFirst374,UserLast374,1436
375,UserFirst375,UserLast375,4307
376,UserFirst376,UserLast376,4688
377,UserFirst377,UserLast377,2650
378,UserFirst378,UserLast378,3295
379,UserFirst379,UserLast379,27
380,UserFirst380,UserLast380,1879
381,UserFirst381,UserLast381,1507
382,UserFirst382,UserLast382,1607
383,UserFirst383,UserLast383,2090
384,UserFirst384,UserLast384,2129
385,UserFirst385,UserLast385,2271
386,UserFirst386,UserLast386,3609
387,UserFirst387,UserLast387,3848
388,UserFirst388,UserLast388,971
389,UserFirst389,UserLast389,3296
390,UserFirst390,UserLast390,448
391,UserFirst391,UserLast391,152
392,UserFirst392,UserLast392,4874
393,UserFirst393,UserLast393,3230
394,UserFirst394,UserLast394,2168
395,UserFirst395,UserLast395,3097
396,UserFirst396,UserLast396,484
397,UserFirst397,UserLast397,500
398,UserFirst398,UserLast398,3628
399,UserFirst399,UserLast399,702
400,UserFirst400,UserLast400,1476
401,UserFirst401,UserLast401,2662
402,UserFirst402,UserLast402,1625
403,UserFirst403,UserLast403,7
404,UserFirst404,UserLast404,1896
405,UserFirst405,UserLast405,1115
406,UserFirst406,UserLast406,322
407,UserFirst407,UserLast407,2110
408,UserFirst408,UserLast408,4354
409,UserFirst409,UserLast409,972
410,UserFirst410,UserLast410,1168
411,UserFirst411,UserLast411,2577
412,UserFirst412,UserLast412,172
413,UserFirst413,UserLast413,1513
414,UserFirst414,UserLast414,847
415,UserFirst415,UserLast415,4706
416,UserFirst416,UserLast416,2463
417,UserFirst417,UserLast417,3516
418,UserFirst418,UserLast418,1103
419,UserFirst419,UserLast419,2521
420,UserFirst420,UserLast420,4517
421,UserFirst421,UserLast421,1681
422,UserFirst422,UserLast422,938
423,UserFirst423,UserLast423,3048
424,UserFirst424,UserLast424,1569
425,UserFirst425,UserLast425,469
426,UserFirst426,UserLast426,2918
427,UserFirst427,UserLast427,4300
428,UserFirst428,UserLast428,2276
429,UserFirst429,UserLast429,4609
430,UserFirst430,UserLast430,3063
431,UserFirst431,UserLast431,1718
432,UserFirst432,UserLast432,2676
433,UserFirst433,UserLast433,642
434,UserFirst434,UserLast434,1683
435,UserFirst435,UserLast435,1065
436,UserFirst436,UserLast436,2561
437,UserFirst437,UserLast437,4021
438,UserFirst438,UserLast438,2926
439,UserFirst439,UserLast439,4849
440,UserFirst440,UserLast440,3130
441,UserFirst441,UserLast441,1528
442,UserFirst442,UserLast442,3398
443,UserFirst443,UserLast443,3037
444,UserFirst444,UserLast444,2532
445,UserFirst445,UserLast445,216
446,UserFirst446,UserLast446,3319
447,UserFirst447,UserLast447,3060
448,UserFirst448,UserLast448,3156
449,UserFirst449,UserLast449,3334
450,UserFirst450,UserLast450,1876
451,UserFirst451,UserLast451,321
452,UserFirst452,UserLast452,1334
453,UserFirst453,UserLast453,938
454,UserFirst454,UserLast454,1109
455,UserFirst455,UserLast455,4493
456,UserFirst456,UserLast456,2036
457,UserFirst457,UserLast457,1748
458,UserFirst458,UserLast458,4347
459,UserFirst459,UserLast459,1078
460,UserFirst460,UserLast460,2356
461,UserFirst461,UserLast461,1638
462,UserFirst462,UserLast462,1293
463,UserFirst463,UserLast463,2346
464,UserFirst464,UserLast464,591
465,UserFirst465,UserLast465,551
466,UserFirst466,UserLast466,393
467,UserFirst467,UserLast467,553
468,UserFirst468,UserLast468,566
469,UserFirst469,UserLast469,4637
470,UserFirst470,UserLast470,2518
471,UserFirst471,UserLast471,3126
472,UserFirst472,UserLast472,3626
473,UserFirst473,UserLast473,822
474,UserFirst474,UserLast474,1965
475,UserFirst475,UserLast475,2060
476,UserFirst476,UserLast476,1469
477,UserFirst477,UserLast477,4525
478,UserFirst478,UserLast478,738
479,UserFirst479,UserLast479,3971
480,UserFirst480,UserLast480,4258
481,UserFirst481,UserLast481,3052
482,UserFirst482,UserLast482,1252
483,UserFirst483,UserLast483,893
484,UserFirst484,UserLast484,3204
485,UserFirst485,UserLast485,4330
486,UserFirst486,UserLast486,2035
487,UserFirst487,UserLast487,2970
488,UserFirst488,UserLast488,1188
489,UserFirst489,UserLast489,2404
490,UserFirst490,UserLast490,3432
491,UserFirst491,UserLast491,3626
492,UserFirst492,UserLast492,359
493,UserFirst493,UserLast493,2781
494,UserFirst494,UserLast494,2969
495,UserFirst495,UserLast495,4033
496,UserFirst496,UserLast496,1040
497,UserFirst497,UserLast497,4263
498,UserFirst498,UserLast498,2555
499,UserFirst499,UserLast499,4656
500,UserFirst500,UserLast500,3999
