user_id,email,join_date
333,user333@example.com,2022-09-14
334,user334@example.com,2022-05-16
335,user335@example.com,2020-02-27
336,user336@example.com,2021-06-24
337,user337@example.com,2021-12-08
338,user338@example.com,2022-06-12
339,user339@example.com,2021-09-20
340,user340@example.com,2021-07-10
341,user341@example.com,2020-07-06
342,user342@example.com,2021-01-21
343,user343@example.com,2020-03-13
344,user344@example.com,2021-12-15
345,user345@example.com,2022-08-12
346,user346@example.com,2021-03-23
347,user347@example.com,2021-10-19
348,user348@example.com,2020-01-06
349,user349@example.com,2022-07-12
350,user350@example.com,2022-06-04
351,user351@example.com,2022-02-25
352,user352@example.com,2020-10-31
353,user353@example.com,2020-01-05
354,user354@example.com,2021-08-31
355,user355@example.com,2020-09-27
356,user356@example.com,2022-03-25
357,user357@example.com,2022-04-26
358,user358@example.com,2020-11-06
359,user359@example.com,2022-05-09
360,user360@example.com,2021-11-11
361,user361@example.com,2020-08-07
362,user362@example.com,2020-08-14
363,user363@example.com,2021-07-09
364,user364@example.com,2020-04-05
365,user365@example.com,2022-01-16
366,user366@example.com,2022-08-22
367,user367@example.com,2022-06-28
368,user368@example.com,2022-01-15
369,user369@example.com,2020-12-07
370,user370@example.com,2020-02-25
371,user371@example.com,2022-05-29
372,user372@example.com,2020-10-18
373,user373@example.com,2022-08-27
374,user374@example.com,2021-11-04
375,user375@example.com,2020-02-06
376,user376@example.com,2022-07-24
377,user377@example.com,2020-08-03
378,user378@example.com,2020-01-05
379,user379@example.com,2021-12-15
380,user380@example.com,2021-07-19
381,user381@example.com,2020-12-20
382,user382@example.com,2020-04-28
383,user383@example.com,2022-05-03
384,user384@example.com,2022-06-08
385,user385@example.com,2020-12-23
386,user386@example.com,2021-10-12
387,user387@example.com,2022-06-12
388,user388@example.com,2021-03-03
389,user389@example.com,2022-05-02
390,user390@example.com,2020-07-24
391,user391@example.com,2021-03-15
392,user392@example.com,2021-09-25
393,user393@example.com,2022-02-28
394,user394@example.com,2020-01-26
395,user395@example.com,2020-09-11
396,user396@example.com,2021-09-30
397,user397@example.com,2021-07-21
398,user398@example.com,2021-04-17
399,user399@example.com,2020-01-24
400,user400@example.com,2020-07-25
401,user401@example.com,2022-08-14
402,user402@example.com,2020-07-05
403,user403@example.com,2021-07-01
404,user404@example.com,2021-06-25
405,user405@example.com,2021-11-18
406,user406@example.com,2020-01-26
407,user407@example.com,2020-10-04
408,user408@example.com,2020-07-31
409,user409@example.com,2021-02-23
410,user410@example.com,2021-02-21
411,user411@example.com,2022-06-13
412,user412@example.com,2021-01-21
413,user413@example.com,2020-01-02
414,user414@example.com,2021-02-15
415,user415@example.com,2021-04-02
416,user416@example.com,2022-08-30
417,user417@example.com,2020-12-21
418,user418@example.com,2020-08-24
419,user419@example.com,2021-05-26
420,user420@example.com,2021-02-08
421,user421@example.com,2022-06-30
422,user422@example.com,2020-01-13
423,user423@example.com,2020-08-04
424,user424@example.com,2021-03-10
425,user425@example.com,2022-06-15
426,user426@example.com,2021-12-16
427,user427@example.com,2022-02-09
428,user428@example.com,2021-03-18
429,user429@example.com,2020-11-15
430,user430@example.com,2021-07-03
431,user431@example.com,2021-08-10
432,user432@example.com,2021-08-06
433,user433@example.com,2022-06-15
434,user434@example.com,2020-07-09
435,user435@example.com,2020-07-17
436,user436@example.com,2021-01-14
437,user437@example.com,2021-04-05
438,user438@example.com,2022-05-28
439,user439@example.com,2020-12-15
440,user440@example.com,2022-03-08
441,user441@example.com,2021-12-07
442,user442@example.com,2020-12-25
443,user443@example.com,2020-10-25
444,user444@example.com,2021-05-25
445,user445@example.com,2020-08-30
446,user446@example.com,2020-12-09
447,user447@example.com,2022-08-08
448,user448@example.com,2021-07-24
449,user449@example.com,2022-09-02
450,user450@example.com,2020-10-23
451,user451@example.com,2022-09-09
452,user452@example.com,2020-01-24
453,user453@example.com,2021-02-14
454,user454@example.com,2020-10-28
455,user455@example.com,2020-11-05
456,user456@example.com,2020-11-20
457,user457@example.com,2021-03-06
458,user458@example.com,2020-05-03
459,user459@example.com,2020-03-07
460,user460@example.com,2021-08-07
461,user461@example.com,2020-04-23
462,user462@example.com,2022-08-06
463,user463@example.com,2020-01-29
464,user464@example.com,2021-08-24
465,user465@example.com,2020-01-27
466,user466@example.com,2020-08-07
467,user467@example.com,2020-01-25
468,user468@example.com,2022-09-03
469,user469@example.com,2022-09-10
470,user470@example.com,2021-07-03
471,user471@example.com,2021-01-28
472,user472@example.com,2020-11-04
473,user473@example.com,2021-08-15
474,user474@example.com,2022-04-28
475,user475@example.com,2021-08-22
476,user476@example.com,2020-11-26
477,user477@example.com,2021-04-10
478,user478@example.com,2021-03-18
479,user479@example.com,2022-02-03
480,user480@example.com,2021-06-07
481,user481@example.com,2021-07-10
482,user482@example.com,2020-07-23
483,user483@example.com,2021-11-19
484,user484@example.com,2022-09-08
485,user485@example.com,2020-11-28
486,user486@example.com,2021-07-02
487,user487@example.com,2020-04-24
488,user488@example.com,2020-03-12
489,user489@example.com,2020-07-02
490,user490@example.com,2021-02-24
491,user491@example.com,2021-09-04
492,user492@example.com,2022-09-23
493,user493@example.com,2020-10-06
494,user494@example.com,2020-08-13
495,user495@example.com,2022-02-17
496,user496@example.com,2021-10-15
497,user497@example.com,2021-07-22
498,user498@example.com,2020-04-04
499,user499@example.com,2022-01-29
500,user500@example.com,2021-12-29
